EmpID,ProjectID,DateFrom,DateTo
5,7,18-Dec-2021,1/13/2022
1,20,07-Dec-2021,1/22/2022
13,8,06-Dec-2021,1/4/2022
8,22,09-Dec-2021,1/4/2022
19,16,03-Dec-2021,1/24/2022
21,9,21-Dec-2021,1/20/2022
9,9,30-Dec-2021,1/19/2022
8,6,19-Dec-2021,1/18/2022
22,8,26-Dec-2021,1/11/2022
22,1,22-Dec-2021,1/14/2022
1,5,05-Dec-2021,1/9/2022
23,21,01-Dec-2021,1/11/2022
18,19,18-Dec-2021,1/22/2022
10,24,13-Dec-2021,1/17/2022
9,16,02-Dec-2021,1/24/2022
20,23,08-Dec-2021,1/9/2022
10,5,30-Dec-2021,1/26/2022
2,24,20-Dec-2021,1/16/2022
14,6,02-Dec-2021,1/11/2022
23,25,12-Dec-2021,1/13/2022
23,24,17-Dec-2021,1/20/2022
17,19,22-Dec-2021,1/26/2022
1,23,28-Dec-2021,1/5/2022
10,11,07-Dec-2021,1/26/2022
1,18,29-Dec-2021,1/4/2022
15,21,26-Dec-2021,1/10/2022
3,16,03-Dec-2021,1/12/2022
25,14,14-Dec-2021,1/5/2022
23,8,22-Dec-2021,1/12/2022
13,8,26-Dec-2021,1/11/2022
19,6,05-Dec-2021,1/13/2022
9,10,25-Dec-2021,1/12/2022
18,19,01-Dec-2021,1/8/2022
15,21,01-Dec-2021,1/6/2022
18,7,04-Dec-2021,1/19/2022
4,9,23-Dec-2021,1/12/2022
10,6,09-Dec-2021,1/20/2022
12,15,20-Dec-2021,1/19/2022
11,9,20-Dec-2021,1/23/2022
12,8,26-Dec-2021,1/9/2022
11,20,25-Dec-2021,1/20/2022
25,9,18-Dec-2021,1/17/2022
12,16,07-Dec-2021,1/8/2022
3,8,25-Dec-2021,1/17/2022
24,11,03-Dec-2021,1/22/2022
9,22,13-Dec-2021,1/26/2022
21,25,27-Dec-2021,1/8/2022
6,14,16-Dec-2021,1/17/2022
5,17,30-Dec-2021,1/5/2022
11,7,08-Dec-2021,1/20/2022
23,14,29-Dec-2021,1/9/2022
4,12,06-Dec-2021,1/20/2022
2,4,15-Dec-2021,1/16/2022
15,23,09-Dec-2021,1/2/2022
4,16,23-Dec-2021,1/16/2022
18,14,24-Dec-2021,1/14/2022
20,15,20-Dec-2021,1/18/2022
17,24,30-Dec-2021,1/22/2022
3,21,21-Dec-2021,1/14/2022
10,2,16-Dec-2021,1/2/2022
4,4,11-Dec-2021,1/23/2022
11,21,02-Dec-2021,1/24/2022
2,6,15-Dec-2021,1/20/2022
20,15,01-Dec-2021,1/24/2022
9,14,12-Dec-2021,1/1/2022
10,3,09-Dec-2021,1/8/2022
15,13,16-Dec-2021,1/22/2022
17,1,30-Dec-2021,1/10/2022
11,23,16-Dec-2021,1/26/2022
25,8,20-Dec-2021,1/11/2022
